,Street Name,From,To,Day of Month,Time
0,acroft,1400.0,1498.0,1st Fri,AM
1,acroft,1401.0,1499.0,1st Fri,AM
2,acton,1201.0,1301.0,1st Fri,PM
3,acton,1330.0,1398.0,2nd Mon,PM
4,acton,1329.0,1949.0,2nd Mon,PM
5,acton,1330.0,1599.0,1st Thurs,PM
6,acton,1331.0,1499.0,1st Wed,PM
7,acton,1500.0,1648.0,1st Thurs,PM
8,acton,1601.0,1699.0,1st Wed,PM
9,acton,1651.0,2099.0,1st Thurs,PM
10,acton,1651.0,1999.0,1st Wed,PM
11,acton,2000.0,2498.0,2nd Mon,AM
12,acton,2001.0,2499.0,1st Fri,AM
13,acton,2500.0,3122.0,2nd Fri,AM
14,acton,2501.0,3199.0,2nd Thurs,AM
15,acton,2100.0,2198.0,1st Fri,AM
16,acton,2101.0,2199.0,1st Fri,AM
17,acton,1400.0,1498.0,1st Fri,AM
18,acton,1401.0,1499.0,1st Fri,AM
19,ada,1360.0,1498.0,1st Thurs,PM
20,ada,1381.0,1399.0,1st Wed,PM
21,ada,1401.0,1499.0,1st Wed,PM
22,ada,1500.0,1598.0,2nd Fri,PM
23,ada,1501.0,1599.0,2nd Thurs,PM
24,ada,1501.0,1599.0,2nd Thurs,PM
25,addison,830.0,1498.0,2nd Mon,AM
26,addison,831.0,1499.0,1st Fri,AM
27,addison,1500.0,1898.0,1st Mon,AM
28,addison,1501.0,1899.0,1st Tue,AM
29,the alameda,1200.0,1298.0,2nd Fri,PM
30,the alameda,1201.0,1299.0,2nd Thurs,PM
31,albina,1300.0,1328.0,2nd Mon,PM
32,albina,1301.0,1399.0,1st Fri,PM
33,alcatraz,1700.0,1998.0,4th Fri,PM
34,alcatraz,1701.0,1899.0,4th Thurs,PM
35,alcatraz,2700.0,2798.0,3rd Tue,AM
36,alcatraz,2701.0,2799.0,3rd Wed,AM
37,allston,900.0,1498.0,1st Fri,AM
38,allston,831.0,1499.0,2nd Mon,AM
39,allston,1500.0,1898.0,1st Tue,AM
40,allston,1501.0,1899.0,1st Mon,AM
41,alvarado,1.0,141.0,4th Tue,AM
42,alvarado,1.0,55.0,3rd Fri,AM
43,alvarado,116.0,144.0,4th Tue,AM
44,arlington,300.0,974.0,4th Fri,PM
45,arlington,501.0,899.0,4th Thurs,PM
46,ashby,2700.0,2799.0,4th Tue,AM
47,ashby,2700.0,2798.0,3rd Fri,AM
48,avalon,2940.0,2998.0,4th Wed,AM
49,avalon,3001.0,3099.0,4th Mon,AM
50,avalon,3000.0,3098.0,4th Wed,AM
51,avalon,3001.0,3099.0,4th Wed,AM
52,baker,3124.0,3204.0,2nd Thurs,AM
53,baker,3206.0,3248.0,2nd Fri,AM
54,bancroft,830.0,1498.0,2nd Mon,AM
55,bancroft,901.0,1499.0,1st Fri,AM
